id	year	Unemployment(%)	Unemployment(%)_tip	Population(/1000)	Population(/1000)_tip	Temperature Change (Degree Change)	Temperature Change (Degree Change)_tip
1001	2011	0.10		97.00		9.70	
1003	2011	0.09		91.00		9.10	
1005	2011	0.13		134.00		13.40	
1007	2011	0.12		121.00		12.10	
1009	2011	0.10		99.00		9.90	
1011	2011	0.16		164.00		16.40	
1013	2011	0.17		167.00		16.70	
1015	2011	0.11		108.00		10.80	
1017	2011	0.19		186.00		18.60	
1019	2011	0.12		118.00		11.80	
1021	2011	0.10		99.00		9.90	
1023	2011	0.13		127.00		12.70	
1025	2011	0.17		170.00		17.00	
1027	2011	0.16		159.00		15.90	
1029	2011	0.10		104.00		10.40	
1031	2011	0.09		85.00		8.50	
1033	2011	0.11		114.00		11.40	
1035	2011	0.20		195.00		19.50	
1037	2011	0.14		140.00		14.00	
1039	2011	0.10		101.00		10.10	
1041	2011	0.10		97.00		9.70	
1043	2011	0.10		96.00		9.60	
1045	2011	0.09		93.00		9.30	
1047	2011	0.21		211.00		21.10	
1049	2011	0.14		143.00		14.30	
1051	2011	0.09		90.00		9.00	
1053	2011	0.13		129.00		12.90	
1055	2011	0.11		107.00		10.70	
1057	2011	0.13		128.00		12.80	
1059	2011	0.12		123.00		12.30	
1061	2011	0.10		100.00		10.00	
1063	2011	0.15		147.00		14.70	
1065	2011	0.13		127.00		12.70	
1067	2011	0.10		99.00		9.90	
1069	2011	0.09		89.00		8.90	
1071	2011	0.12		118.00		11.80	
1073	2011	0.11		107.00		10.70	
1075	2011	0.15		148.00		14.80	
1077	2011	0.11		105.00		10.50	
1079	2011	0.14		136.00		13.60	
1081	2011	0.09		86.00		8.60	
1083	2011	0.09		93.00		9.30	
1085	2011	0.19		185.00		18.50	
1087	2011	0.11		114.00		11.40	
1089	2011	0.08		75.00		7.50	
1091	2011	0.15		148.00		14.80	
1093	2011	0.15		152.00		15.20	
1095	2011	0.09		92.00		9.20	
1097	2011	0.11		111.00		11.10	
1099	2011	0.19		187.00		18.70	
1101	2011	0.10		102.00		10.20	
1103	2011	0.10		104.00		10.40	
1105	2011	0.20		198.00		19.80	
1107	2011	0.13		130.00		13.00	
1109	2011	0.09		87.00		8.70	
1111	2011	0.15		151.00		15.10	
1113	2011	0.13		126.00		12.60	
1115	2011	0.11		107.00		10.70	
1117	2011	0.08		76.00		7.60	
1119	2011	0.14		139.00		13.90	
1121	2011	0.14		136.00		13.60	
1123	2011	0.14		137.00		13.70	
1125	2011	0.09		90.00		9.00	
1127	2011	0.12		119.00		11.90	
1129	2011	0.15		151.00		15.10	
1131	2011	0.26		256.00		25.60	
1133	2011	0.18		175.00		17.50	
2013	2011	0.10		101.00		10.10	
2016	2011	0.08		84.00		8.40	
2020	2011	0.07		70.00		7.00	
2050	2011	0.15		148.00		14.80	
2060	2011	0.04		36.00		3.60	
2068	2011	0.03		34.00		3.40	
2070	2011	0.08		84.00		8.40	
2090	2011	0.07		69.00		6.90	
2100	2011	0.06		62.00		6.20	
2110	2011	0.06		57.00		5.70	
2122	2011	0.10		97.00		9.70	
2130	2011	0.06		61.00		6.10	
2150	2011	0.07		66.00		6.60	
2164	2011	0.06		59.00		5.90	
2170	2011	0.09		88.00		8.80	
2180	2011	0.12		121.00		12.10	
2185	2011	0.06		57.00		5.70	
2188	2011	0.13		132.00		13.20	
2201	2011	0.14		136.00		13.60	
2220	2011	0.06		59.00		5.90	
2232	2011	0.07		73.00		7.30	
2240	2011	0.08		81.00		8.10	
2261	2011	0.06		64.00		6.40	
2270	2011	0.20		204.00		20.40	
2280	2011	0.10		98.00		9.80	
2282	2011	0.06		63.00		6.30	
2290	2011	0.14		136.00		13.60	
4001	2011	0.15		148.00		14.80	
4003	2011	0.07		74.00		7.40	
4005	2011	0.08		77.00		7.70	
4007	2011	0.11		109.00		10.90	
4009	2011	0.14		144.00		14.40	
4011	2011	0.22		215.00		21.50	
4012	2011	0.09		89.00		8.90	
4013	2011	0.09		85.00		8.50	
4015	2011	0.10		102.00		10.20	
4017	2011	0.14		142.00		14.20	
4019	2011	0.08		84.00		8.40	
4021	2011	0.12		118.00		11.80	
4023	2011	0.17		172.00		17.20	
4025	2011	0.10		95.00		9.50	
4027	2011	0.24		242.00		24.20	
5001	2011	0.14		143.00		14.30	
5003	2011	0.09		91.00		9.10	
5005	2011	0.08		82.00		8.20	
5007	2011	0.05		53.00		5.30	
5009	2011	0.06		64.00		6.40	
5011	2011	0.08		78.00		7.80	
5013	2011	0.06		62.00		6.20	
5015	2011	0.04		43.00		4.30	
5017	2011	0.10		96.00		9.60	
5019	2011	0.06		63.00		6.30	
5021	2011	0.10		104.00		10.40	
5023	2011	0.06		59.00		5.90	
5025	2011	0.06		60.00		6.00	
5027	2011	0.08		81.00		8.10	
5029	2011	0.07		65.00		6.50	
5031	2011	0.06		59.00		5.90	
5033	2011	0.07		66.00		6.60	
5035	2011	0.10		99.00		9.90	
5037	2011	0.07		71.00		7.10	
5039	2011	0.08		76.00		7.60	
5041	2011	0.10		99.00		9.90	
5043	2011	0.09		91.00		9.10	
5045	2011	0.06		60.00		6.00	
5047	2011	0.06		59.00		5.90	
5049	2011	0.06		61.00		6.10	
5051	2011	0.07		66.00		6.60	
5053	2011	0.06		57.00		5.70	
5055	2011	0.08		82.00		8.20	
5057	2011	0.09		86.00		8.60	
5059	2011	0.07		73.00		7.30	
5061	2011	0.07		72.00		7.20	
5063	2011	0.08		78.00		7.80	
5065	2011	0.08		77.00		7.70	
5067	2011	0.09		92.00		9.20	
5069	2011	0.09		92.00		9.20	
5071	2011	0.06		61.00		6.10	
5073	2011	0.09		86.00		8.60	
5075	2011	0.08		79.00		7.90	
5077	2011	0.08		82.00		8.20	
5079	2011	0.08		82.00		8.20	
5081	2011	0.06		56.00		5.60	
5083	2011	0.08		77.00		7.70	
5085	2011	0.05		52.00		5.20	
5087	2011	0.05		53.00		5.30	
5089	2011	0.11		112.00		11.20	
5091	2011	0.05		45.00		4.50	
5093	2011	0.11		113.00		11.30	
5095	2011	0.07		74.00		7.40	
5097	2011	0.06		58.00		5.80	
5099	2011	0.09		87.00		8.70	
5101	2011	0.06		62.00		6.20	
5103	2011	0.07		71.00		7.10	
5105	2011	0.06		56.00		5.60	
5107	2011	0.09		88.00		8.80	
5109	2011	0.06		63.00		6.30	
5111	2011	0.08		75.00		7.50	
5113	2011	0.06		64.00		6.40	
5115	2011	0.06		62.00		6.20	
5117	2011	0.07		67.00		6.70	
5119	2011	0.06		60.00		6.00	
5121	2011	0.07		73.00		7.30	
5123	2011	0.09		94.00		9.40	
5125	2011	0.06		58.00		5.80	
5127	2011	0.06		63.00		6.30	
5129	2011	0.06		59.00		5.90	
5131	2011	0.06		62.00		6.20	
5133	2011	0.05		51.00		5.10	
5135	2011	0.08		78.00		7.80	
5137	2011	0.07		66.00		6.60	
5139	2011	0.10		95.00		9.50	
5141	2011	0.09		91.00		9.10	
5143	2011	0.05		50.00		5.00	
5145	2011	0.07		67.00		6.70	
5147	2011	0.09		91.00		9.10	
5149	2011	0.06		64.00		6.40	
6001	2011	0.11		113.00		11.30	
6003	2011	0.15		152.00		15.20	
6005	2011	0.12		121.00		12.10	
6007	2011	0.12		122.00		12.20	
6009	2011	0.14		143.00		14.30	
6011	2011	0.15		145.00		14.50	
6013	2011	0.11		112.00		11.20	
6015	2011	0.12		119.00		11.90	
6017	2011	0.11		112.00		11.20	
6019	2011	0.14		141.00		14.10	
6021	2011	0.14		138.00		13.80	
6023	2011	0.10		103.00		10.30	
6025	2011	0.30		301.00		30.10	
6027	2011	0.10		95.00		9.50	
6029	2011	0.14		139.00		13.90	
6031	2011	0.14		139.00		13.90	
6033	2011	0.15		147.00		14.70	
6035	2011	0.12		118.00		11.80	
6037	2011	0.13		127.00		12.70	
6039	2011	0.12		123.00		12.30	
6041	2011	0.08		80.00		8.00	
6043	2011	0.09		88.00		8.80	
6045	2011	0.10		101.00		10.10	
6047	2011	0.16		157.00		15.70	
6049	2011	0.11		111.00		11.10	
6051	2011	0.10		103.00		10.30	
6053	2011	0.10		100.00		10.00	
6055	2011	0.09		87.00		8.70	
6057	2011	0.11		109.00		10.90	
6059	2011	0.09		94.00		9.40	
6061	2011	0.11		113.00		11.30	
6063	2011	0.14		139.00		13.90	
6065	2011	0.15		147.00		14.70	
6067	2011	0.12		122.00		12.20	
6069	2011	0.13		125.00		12.50	
6071	2011	0.14		136.00		13.60	
6073	2011	0.10		102.00		10.20	
6075	2011	0.10		97.00		9.70	
6077	2011	0.16		155.00		15.50	
6079	2011	0.09		90.00		9.00	
6081	2011	0.09		90.00		9.00	
6083	2011	0.09		85.00		8.50	
6085	2011	0.12		118.00		11.80	
6087	2011	0.10		102.00		10.20	
6089	2011	0.15		147.00		14.70	
6091	2011	0.14		137.00		13.70	
6093	2011	0.14		135.00		13.50	
6095	2011	0.12		115.00		11.50	
6097	2011	0.10		99.00		9.90	
