id	name	other_data
1001	Autauga	State
1003	Baldwin	State
1005	Barbour	State
1007	Bibb	State
1009	Blount	State
1011	Bullock	State
1013	Butler	State
1015	Calhoun	State
1017	Chambers	State
1019	Cherokee	State
1021	Chilton	State
1023	Choctaw	State
1025	Clarke	State
1027	Clay	State
1029	Cleburne	State
1031	Coffee	State
1033	Colbert	State
1035	Conecuh	State
1037	Coosa	State
1039	Covington	State
1041	Crenshaw	State
1043	Cullman	State
1045	Dale	State
1047	Dallas	State
1049	De Kalb	State
1051	Elmore	State
1053	Escambia	State
1055	Etowah	State
1057	Fayette	State
1059	Franklin	State
1061	Geneva	State
1063	Greene	State
1065	Hale	State
1067	Henry	State
1069	Houston	State
1071	Jackson	State
1073	Jefferson	State
1075	Lamar	State
1077	Lauderdale	State
1079	Lawrence	State
1081	Lee	State
1083	Limestone	State
1085	Lowndes	State
1087	Macon	State
1089	Madison	State
1091	Marengo	State
1093	Marion	State
1095	Marshall	State
1097	Mobile	State
1099	Monroe	State
1101	Montgomery	State
1103	Morgan	State
1105	Perry	State
1107	Pickens	State
1109	Pike	State
1111	Randolph	State
1113	Russell	State
1115	St. Clair	State
1117	Shelby	State
1119	Sumter	State
1121	Talladega	State
1123	Tallapoosa	State
1125	Tuscaloosa	State
1127	Walker	State
1129	Washington	State
1131	Wilcox	State
1133	Winston	State
2000	Alaska	State
2013	Aleutians East	State
2016	Aleutians West	State
2020	Anchorage	State
2050	Bethel	State
2060	Bristol Bay	State
2068	Denali	State
2070	Dillingham	State
2090	Fairbanks North Star	State
2100	Haines	State
2110	Juneau	State
2122	Kenai Peninsula	State
2130	Ketchikan Gateway	State
2150	Kodiak Island	State
2164	Lake and Peninsula	State
2170	Matanuska-Susitna	State
2180	Nome	State
2185	North Slope	State
2188	Northwest Arctic	State
2201	Prince of Wales-Outer Ketchikan	State
2220	Sitka	State
2232	Skagway-Hoonah-Angoon	State
2240	Southeast Fairbanks	State
2261	Valdez-Cordova	State
2270	Wade Hampton	State
2280	Wrangell-Petersburg	State
2282	Yakutat	State
2290	Yukon-Koyukuk	State
4000	Arizona	State
4001	Apache	State
4003	Cochise	State
4005	Coconino	State
4007	Gila	State
4009	Graham	State
4011	Greenlee	State
4012	La Paz	State
4013	Maricopa	State
4015	Mohave	State
4017	Navajo	State
4019	Pima	State
4021	Pinal	State
4023	Santa Cruz	State
4025	Yavapai	State
4027	Yuma	State
5000	Arkansas	State
5001	Arkansas	State
5003	Ashley	State
5005	Baxter	State
5007	Benton	State
5009	Boone	State
5011	Bradley	State
5013	Calhoun	State
5015	Carroll	State
5017	Chicot	State
5019	Clark	State
5021	Clay	State
5023	Cleburne	State
5025	Cleveland	State
5027	Columbia	State
5029	Conway	State
5031	Craighead	State
5033	Crawford	State
5035	Crittenden	State
5037	Cross	State
5039	Dallas	State
5041	Desha	State
5043	Drew	State
5045	Faulkner	State
5047	Franklin	State
5049	Fulton	State
5051	Garland	State
5053	Grant	State
5055	Greene	State
5057	Hempstead	State
5059	Hot Spring	State
5061	Howard	State
5063	Independence	State
5065	Izard	State
5067	Jackson	State
5069	Jefferson	State
5071	Johnson	State
5073	Lafayette	State
5075	Lawrence	State
5077	Lee	State
5079	Lincoln	State
5081	Little River	State
5083	Logan	State
5085	Lonoke	State
5087	Madison	State
5089	Marion	State
5091	Miller	State
5093	Mississippi	State
5095	Monroe	State
5097	Montgomery	State
5099	Nevada	State
5101	Newton	State
5103	Ouachita	State
5105	Perry	State
5107	Phillips	State
5109	Pike	State
5111	Poinsett	State
5113	Polk	State
5115	Pope	State
5117	Prairie	State
5119	Pulaski	State
5121	Randolph	State
5123	St. Francis	State
5125	Saline	State
5127	Scott	State
5129	Searcy	State
5131	Sebastian	State
5133	Sevier	State
5135	Sharp	State
5137	Stone	State
5139	Union	State
5141	Van Buren	State
5143	Washington	State
5145	White	State
5147	Woodruff	State
5149	Yell	State
6000	California	State
6001	Alameda	State
6003	Alpine	State
6005	Amador	State
6007	Butte	State
6009	Calaveras	State
6011	Colusa	State
6013	Contra Costa	State
6015	Del Norte	State
6017	El Dorado	State
6019	Fresno	State
6021	Glenn	State
6023	Humboldt	State
6025	Imperial	State
6027	Inyo	State
6029	Kern	State
6031	Kings	State
6033	Lake	State
6035	Lassen	State
6037	Los Angeles	State
6039	Madera	State
6041	Marin	State
6043	Mariposa	State
6045	Mendocino	State
6047	Merced	State
6049	Modoc	State
6051	Mono	State
6053	Monterey	State
6055	Napa	State
6057	Nevada	State
6059	Orange	State
6061	Placer	State
6063	Plumas	State
6065	Riverside	State
6067	Sacramento	State
6069	San Benito	State
6071	San Bernardino	State
6073	San Diego	State
6075	San Francisco	State
6077	San Joaquin	State
6079	San Luis Obispo	State
6081	San Mateo	State
6083	Santa Barbara	State
6085	Santa Clara	State
6087	Santa Cruz	State
6089	Shasta	State
6091	Sierra	State
6093	Siskiyou	State
6095	Solano	State
6097	Sonoma	State
6099	Stanislaus	State
6101	Sutter	State
6103	Tehama	State
6105	Trinity	State
6107	Tulare	State
6109	Tuolumne	State
6111	Ventura	State
6113	Yolo	State
6115	Yuba	State
8000	Colorado	State
8001	Adams	State
8003	Alamosa	State
8005	Arapahoe	State
8007	Archuleta	State
8009	Baca	State
8011	Bent	State
8013	Boulder	State
8015	Chaffee	State
8017	Cheyenne	State
8019	Clear Creek	State
8021	Conejos	State
8023	Costilla	State
8025	Crowley	State
8027	Custer	State
8029	Delta	State
8031	Denver	State
8033	Dolores	State
8035	Douglas	State
8037	Eagle	State
8039	Elbert	State
8041	El Paso	State
8043	Fremont	State
8045	Garfield	State
8047	Gilpin	State
8049	Grand	State
8051	Gunnison	State
8053	Hinsdale	State
8055	Huerfano	State
8057	Jackson	State
8059	Jefferson	State
8061	Kiowa	State
8063	Kit Carson	State
8065	Lake	State
8067	La Plata	State
8069	Larimer	State
8071	Las Animas	State
8073	Lincoln	State
8075	Logan	State
8077	Mesa	State
8079	Mineral	State
8081	Moffat	State
8083	Montezuma	State
8085	Montrose	State
8087	Morgan	State
8089	Otero	State
8091	Ouray	State
8093	Park	State
8095	Phillips	State
8097	Pitkin	State
8099	Prowers	State
8101	Pueblo	State
8103	Rio Blanco	State
8105	Rio Grande	State
8107	Routt	State
8109	Saguache	State
8111	San Juan	State
8113	San Miguel	State
8115	Sedgwick	State
8117	Summit	State
8119	Teller	State
8121	Washington	State
8123	Weld	State
8125	Yuma	State
9000	Connecticut	State
9001	Fairfield	State
9003	Hartford	State
9005	Litchfield	State
9007	Middlesex	State
9009	New Haven	State
9011	New London	State
9013	Tolland	State
9015	Windham	State
10000	Delaware	State
10001	Kent	State
10003	New Castle	State
10005	Sussex	State
11000	District of Columbia	State
11001	District of Columbia	State
12000	Florida	State
12001	Alachua	State
12003	Baker	State
12005	Bay	State
12007	Bradford	State
12009	Brevard	State
12011	Broward	State
12013	Calhoun	State
12015	Charlotte	State
12017	Citrus	State
12019	Clay	State
12021	Collier	State
12023	Columbia	State
12025	Dade	State
12027	De Soto	State
12029	Dixie	State
12031	Duval	State
12033	Escambia	State
12035	Flagler	State
12037	Franklin	State
12039	Gadsden	State
12041	Gilchrist	State
12043	Glades	State
12045	Gulf	State
