id	year	rate
1001	2011	0.097
1003	2011	0.091
1005	2011	0.134
1007	2011	0.121
1009	2011	0.099
1011	2011	0.164
1013	2011	0.167
1015	2011	0.108
1017	2011	0.186
1019	2011	0.118
1021	2011	0.099
1023	2011	0.127
1025	2011	0.17
1027	2011	0.159
1029	2011	0.104
1031	2011	0.085
1033	2011	0.114
1035	2011	0.195
1037	2011	0.14
1039	2011	0.101
1041	2011	0.097
1043	2011	0.096
1045	2011	0.093
1047	2011	0.211
1049	2011	0.143
1051	2011	0.09
1053	2011	0.129
1055	2011	0.107
1057	2011	0.128
1059	2011	0.123
1061	2011	0.1
1063	2011	0.147
1065	2011	0.127
1067	2011	0.099
1069	2011	0.089
1071	2011	0.118
1073	2011	0.107
1075	2011	0.148
1077	2011	0.105
1079	2011	0.136
1081	2011	0.086
1083	2011	0.093
1085	2011	0.185
1087	2011	0.114
1089	2011	0.075
1091	2011	0.148
1093	2011	0.152
1095	2011	0.092
1097	2011	0.111
1099	2011	0.187
1101	2011	0.102
1103	2011	0.104
1105	2011	0.198
1107	2011	0.13
1109	2011	0.087
1111	2011	0.151
1113	2011	0.126
1115	2011	0.107
1117	2011	0.076
1119	2011	0.139
1121	2011	0.136
1123	2011	0.137
1125	2011	0.09
1127	2011	0.119
1129	2011	0.151
1131	2011	0.256
1133	2011	0.175
2013	2011	0.101
2016	2011	0.084
2020	2011	0.07
2050	2011	0.148
2060	2011	0.036
2068	2011	0.034
2070	2011	0.084
2090	2011	0.069
2100	2011	0.062
2110	2011	0.057
2122	2011	0.097
2130	2011	0.061
2150	2011	0.066
2164	2011	0.059
2170	2011	0.088
2180	2011	0.121
2185	2011	0.057
2188	2011	0.132
2201	2011	0.136
2220	2011	0.059
2232	2011	0.073
2240	2011	0.081
2261	2011	0.064
2270	2011	0.204
2280	2011	0.098
2282	2011	0.063
2290	2011	0.136
4001	2011	0.148
4003	2011	0.074
4005	2011	0.077
4007	2011	0.109
4009	2011	0.144
4011	2011	0.215
4012	2011	0.089
4013	2011	0.085
4015	2011	0.102
4017	2011	0.142
4019	2011	0.084
4021	2011	0.118
4023	2011	0.172
4025	2011	0.095
4027	2011	0.242
5001	2011	0.143
5003	2011	0.091
5005	2011	0.082
5007	2011	0.053
5009	2011	0.064
5011	2011	0.078
5013	2011	0.062
5015	2011	0.043
5017	2011	0.096
5019	2011	0.063
5021	2011	0.104
5023	2011	0.059
5025	2011	0.06
5027	2011	0.081
5029	2011	0.065
5031	2011	0.059
5033	2011	0.066
5035	2011	0.099
5037	2011	0.071
5039	2011	0.076
5041	2011	0.099
5043	2011	0.091
5045	2011	0.06
5047	2011	0.059
5049	2011	0.061
5051	2011	0.066
5053	2011	0.057
5055	2011	0.082
5057	2011	0.086
5059	2011	0.073
5061	2011	0.072
5063	2011	0.078
5065	2011	0.077
5067	2011	0.092
5069	2011	0.092
5071	2011	0.061
5073	2011	0.086
5075	2011	0.079
5077	2011	0.082
5079	2011	0.082
5081	2011	0.056
5083	2011	0.077
5085	2011	0.052
5087	2011	0.053
5089	2011	0.112
5091	2011	0.045
5093	2011	0.113
5095	2011	0.074
5097	2011	0.058
5099	2011	0.087
5101	2011	0.062
5103	2011	0.071
5105	2011	0.056
5107	2011	0.088
5109	2011	0.063
5111	2011	0.075
5113	2011	0.064
5115	2011	0.062
5117	2011	0.067
5119	2011	0.06
5121	2011	0.073
5123	2011	0.094
5125	2011	0.058
5127	2011	0.063
5129	2011	0.059
5131	2011	0.062
5133	2011	0.051
5135	2011	0.078
5137	2011	0.066
5139	2011	0.095
5141	2011	0.091
5143	2011	0.05
5145	2011	0.067
5147	2011	0.091
5149	2011	0.064
6001	2011	0.113
6003	2011	0.152
6005	2011	0.121
6007	2011	0.122
6009	2011	0.143
6011	2011	0.145
6013	2011	0.112
6015	2011	0.119
6017	2011	0.112
6019	2011	0.141
6021	2011	0.138
6023	2011	0.103
6025	2011	0.301
6027	2011	0.095
6029	2011	0.139
6031	2011	0.139
6033	2011	0.147
6035	2011	0.118
6037	2011	0.127
6039	2011	0.123
6041	2011	0.08
6043	2011	0.088
6045	2011	0.101
6047	2011	0.157
6049	2011	0.111
6051	2011	0.103
6053	2011	0.1
6055	2011	0.087
6057	2011	0.109
6059	2011	0.094
6061	2011	0.113
6063	2011	0.139
6065	2011	0.147
6067	2011	0.122
6069	2011	0.125
6071	2011	0.136
6073	2011	0.102
6075	2011	0.097
6077	2011	0.155
6079	2011	0.09
6081	2011	0.09
6083	2011	0.085
6085	2011	0.118
6087	2011	0.102
6089	2011	0.147
6091	2011	0.137
6093	2011	0.135
6095	2011	0.115
6097	2011	0.099
6099	2011	0.153
6101	2011	0.151
6103	2011	0.137
6105	2011	0.159
6107	2011	0.149
6109	2011	0.127
6111	2011	0.11
6113	2011	0.109
6115	2011	0.178
8001	2011	0.081
8003	2011	0.055
8005	2011	0.069
8007	2011	0.062
8009	2011	0.034
8011	2011	0.05
8013	2011	0.055
8014	2011	0.066
8015	2011	0.051
8017	2011	0.02
8019	2011	0.07
8021	2011	0.051
8023	2011	0.084
8025	2011	0.076
8027	2011	0.052
8029	2011	0.066
8031	2011	0.077
8033	2011	0.132
8035	2011	0.059
8037	2011	0.062
8039	2011	0.06
8041	2011	0.072
8043	2011	0.077
8045	2011	0.058
8047	2011	0.06
8049	2011	0.058
8051	2011	0.044
8053	2011	0.022
8055	2011	0.072
8057	2011	0.033
8059	2011	0.067
8061	2011	0.028
8063	2011	0.029
8065	2011	0.071
8067	2011	0.047
8069	2011	0.056
8071	2011	0.07
8073	2011	0.037
8075	2011	0.046
8077	2011	0.082
8079	2011	0.053
8081	2011	0.056
8083	2011	0.063
8085	2011	0.069
8087	2011	0.049
8089	2011	0.058
8091	2011	0.041
8093	2011	0.061
8095	2011	0.026
8097	2011	0.05
8099	2011	0.05
8101	2011	0.075
8103	2011	0.039
8105	2011	0.048
8107	2011	0.06
8109	2011	0.078
8111	2011	0.053
8113	2011	0.042
8115	2011	0.033
8117	2011	0.058
8119	2011	0.067
8121	2011	0.032
8123	2011	0.075
8125	2011	0.026
9001	2011	0.078
9003	2011	0.088
9005	2011	0.079
9007	2011	0.067
9009	2011	0.089
9011	2011	0.076
9013	2011	0.067
9015	2011	0.09
10001	2011	0.079
10003	2011	0.086
10005	2011	0.073
11001	2011	0.117
12001	2011	0.071
12003	2011	0.114
12005	2011	0.089
12007	2011	0.083
12009	2011	0.111
12011	2011	0.098
12013	2011	0.082
12015	2011	0.127
12017	2011	0.121
12019	2011	0.098
12021	2011	0.131
12023	2011	0.09
12027	2011	0.117
12029	2011	0.123
12031	2011	0.112
12033	2011	0.098
12035	2011	0.162
12037	2011	0.071
12039	2011	0.096
12041	2011	0.1
12043	2011	0.1
12045	2011	0.098
12047	2011	0.113
12049	2011	0.126
12051	2011	0.168
12053	2011	0.138
12055	2011	0.116
12057	2011	0.115
12059	2011	0.072
12061	2011	0.152
12063	2011	0.072
12065	2011	0.085
12067	2011	0.072
12069	2011	0.123
12071	2011	0.139
12073	2011	0.072
12075	2011	0.121
12077	2011	0.053
12079	2011	0.117
12081	2011	0.127
12083	2011	0.133
12085	2011	0.119
12086	2011	0.113
12087	2011	0.07
12089	2011	0.107
12091	2011	0.072
12093	2011	0.133
12095	2011	0.114
12097	2011	0.128
12099	2011	0.117
12101	2011	0.125
12103	2011	0.112
12105	2011	0.127
12107	2011	0.122
12109	2011	0.09
12111	2011	0.153
12113	2011	0.094
12115	2011	0.123
12117	2011	0.106
12119	2011	0.09
12121	2011	0.098
12123	2011	0.104
12125	2011	0.084
12127	2011	0.117
12129	2011	0.072
12131	2011	0.068
12133	2011	0.096
13001	2011	0.097
13003	2011	0.126
13005	2011	0.085
13007	2011	0.091
13009	2011	0.116
13011	2011	0.067
13013	2011	0.111
13015	2011	0.133
13017	2011	0.153
13019	2011	0.124
13021	2011	0.1
13023	2011	0.097
13025	2011	0.116
13027	2011	0.087
13029	2011	0.081
13031	2011	0.09
13033	2011	0.122
13035	2011	0.127
13037	2011	0.111
13039	2011	0.091
13043	2011	0.093
13045	2011	0.108
13047	2011	0.08
13049	2011	0.106
13051	2011	0.085
13053	2011	0.146
13055	2011	0.114
13057	2011	0.095
13059	2011	0.07
13061	2011	0.082
13063	2011	0.123
13065	2011	0.11
13067	2011	0.096
13069	2011	0.168
13071	2011	0.09
13073	2011	0.07
13075	2011	0.119
13077	2011	0.1
13079	2011	0.095
13081	2011	0.121
13083	2011	0.09
13085	2011	0.101
13087	2011	0.127
13089	2011	0.107
13091	2011	0.112
13093	2011	0.101
13095	2011	0.111
13097	2011	0.114
13099	2011	0.105
13101	2011	0.067
13103	2011	0.079
13105	2011	0.122
13107	2011	0.103
13109	2011	0.089
13111	2011	0.1
13113	2011	0.084
13115	2011	0.111
13117	2011	0.086
13119	2011	0.118
13121	2011	0.107
13123	2011	0.098
13125	2011	0.111
13127	2011	0.082
13129	2011	0.131
13131	2011	0.098
13133	2011	0.111
13135	2011	0.094
13137	2011	0.094
13139	2011	0.091
13141	2011	0.177
13143	2011	0.113
13145	2011	0.072
13147	2011	0.138
13149	2011	0.124
13151	2011	0.104
13153	2011	0.073
13155	2011	0.145
13157	2011	0.109
13159	2011	0.127
13161	2011	0.135
13163	2011	0.149
13165	2011	0.196
13167	2011	0.119
13169	2011	0.086
13171	2011	0.153
13173	2011	0.084
13175	2011	0.108
13177	2011	0.079
13179	2011	0.085
13181	2011	0.103
13183	2011	0.059
13185	2011	0.082
13187	2011	0.111
13189	2011	0.121
13191	2011	0.096
13193	2011	0.13
13195	2011	0.083
13197	2011	0.099
13199	2011	0.132
13201	2011	0.087
13205	2011	0.104
13207	2011	0.102
13209	2011	0.085
13211	2011	0.098
13213	2011	0.123
13215	2011	0.092
13217	2011	0.126
13219	2011	0.062
13221	2011	0.082
13223	2011	0.107
13225	2011	0.102
13227	2011	0.108
13229	2011	0.093
13231	2011	0.118
13233	2011	0.108
13235	2011	0.071
13237	2011	0.104
13239	2011	0.118
13241	2011	0.104
13243	2011	0.13
13245	2011	0.103
13247	2011	0.12
13249	2011	0.138
13251	2011	0.137
13253	2011	0.107
13255	2011	0.154
13257	2011	0.107
13259	2011	0.107
13261	2011	0.129
13263	2011	0.098
13265	2011	0.124
13267	2011	0.087
13269	2011	0.13
13271	2011	0.162
13273	2011	0.116
13275	2011	0.093
13277	2011	0.106
13279	2011	0.098
13281	2011	0.078
13283	2011	0.119
13285	2011	0.129
13287	2011	0.13
13289	2011	0.114
13291	2011	0.09
13293	2011	0.133
13295	2011	0.096
13297	2011	0.11
13299	2011	0.107
13301	2011	0.188
13303	2011	0.14
13305	2011	0.117
13307	2011	0.091
13309	2011	0.091
13311	2011	0.095
13313	2011	0.125
13315	2011	0.116
13317	2011	0.117
13319	2011	0.107
13321	2011	0.108
15001	2011	0.108
15003	2011	0.063
15007	2011	0.096
15009	2011	0.097
16001	2011	0.091
16003	2011	0.121
16005	2011	0.084
16007	2011	0.052
16009	2011	0.121
16011	2011	0.059
16013	2011	0.077
16015	2011	0.071
16017	2011	0.095
16019	2011	0.059
16021	2011	0.12
16023	2011	0.045
16025	2011	0.11
16027	2011	0.106
16029	2011	0.06
16031	2011	0.059
16033	2011	0.041
16035	2011	0.118
16037	2011	0.039
16039	2011	0.077
16041	2011	0.04
16043	2011	0.066
16045	2011	0.104
16047	2011	0.055
16049	2011	0.083
16051	2011	0.068
16053	2011	0.059
16055	2011	0.087
16057	2011	0.059
16059	2011	0.065
16061	2011	0.052
16063	2011	0.097
16065	2011	0.055
16067	2011	0.06
16069	2011	0.055
16071	2011	0.05
16073	2011	0.041
16075	2011	0.077
16077	2011	0.067
16079	2011	0.119
16081	2011	0.051
16083	2011	0.068
16085	2011	0.114
16087	2011	0.084
17001	2011	0.079
17003	2011	0.112
17005	2011	0.093
17007	2011	0.138
17009	2011	0.045
17011	2011	0.109
17013	2011	0.095
17015	2011	0.105
17017	2011	0.073
17019	2011	0.082
17021	2011	0.099
17023	2011	0.131
17025	2011	0.114
17027	2011	0.079
17029	2011	0.091
17031	2011	0.106
17033	2011	0.105
17035	2011	0.097
17037	2011	0.092
17039	2011	0.092
17041	2011	0.091
17043	2011	0.086
17045	2011	0.107
17047	2011	0.091
17049	2011	0.079
17051	2011	0.116
17053	2011	0.104
17055	2011	0.146
17057	2011	0.125
17059	2011	0.11
17061	2011	0.092
17063	2011	0.114
17065	2011	0.093
17067	2011	0.113
17069	2011	0.128
17071	2011	0.094
17073	2011	0.086
17075	2011	0.1
17077	2011	0.073
17079	2011	0.095
17081	2011	0.1
17083	2011	0.088
17085	2011	0.081
17087	2011	0.104
17089	2011	0.099
17091	2011	0.128
17093	2011	0.104
17095	2011	0.103
17097	2011	0.1
17099	2011	0.124
17101	2011	0.103
17103	2011	0.109
17105	2011	0.107
17107	2011	0.095
17109	2011	0.077
17111	2011	0.093
17113	2011	0.074
17115	2011	0.124
17117	2011	0.105
17119	2011	0.097
17121	2011	0.119
17123	2011	0.106
17125	2011	0.143
17127	2011	0.08
17129	2011	0.078
17131	2011	0.089
17133	2011	0.078
17135	2011	0.122
17137	2011	0.084
17139	2011	0.09
17141	2011	0.119
17143	2011	0.116
